,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO
1,Madrid-Oeste,28060646,EEI,ACHALAY,"Avenida De Isabel De Farnesio, 14 ",Boadilla del Monte,-,28660,916326518,-,eei.achalay.boadilla@educa.madrid.org,achalay-@hotmail.com,Público,Primaria
2,Madrid-Este,28063027,EEI,ACUARELA,"Avenida Del Somorrostro, 193 ",San Fernando de Henares,-,28830,916694580,-,eei.acuarela.sanfernando@educa.madrid.org,-,Público,Primaria
3,Madrid-Sur,28047460,EEI,ADIVINANZAS,"Calle De Las Palmeras, 1 ",Alcorcón,-,28922,911886061,-,eei.adivinanzas.alcorcon@educa.madrid.org,-,Público,Primaria
4,Madrid-Capital,28047551,EEI,AGUA DULCE,"Calle De Leñeros, 25 ",Madrid,Tetuán,28039,914594049,914594049,eei.aguadulce.madrid@educa.madrid.org,-,Público,Primaria
5,Madrid-Sur,28044100,EEI,AILANTOS,"Plaza Duque De Ahumada, S/n ",Valdemoro,-,28341,918955900,918955900,eei.ailantos.valdemoro@educa.madrid.org,manuelaailantos@hotmail.com,Público,Primaria
6,Madrid-Capital,28043405,EEI,ALBAICIN,"Calle De Albaicín, 1 ",Madrid,Usera,28041,913171194,913171194,eei.albaicin.madrid@educa.madrid.org,mariasira.delrio@madrid.org,Público,Primaria
7,Madrid-Capital,28043417,EEI,ALFAR,"Calle De Gerardo Diego, 9-b ",Madrid,Puente de Vallecas,28018,917773745,917773745,eei.alfar.madrid@educa.madrid.org,-,Público,Primaria
8,Madrid-Capital,28067665,EEI,ALTAIR,"Calle De José De Cadalso, 43 ",Madrid,Latina,28044,917652101,-,eei.altair.madrid@educa.madrid.org,altairescuela@gmail.com,Público,Primaria
9,Madrid-Capital,28047861,EEI,AMADEO VIVES,"Calle De Los Yébenes, 6 ",Madrid,Latina,28047,687011831,917080207,cn.amadeovives.madrid@educa.madrid.org,-,Público,Primaria
10,Madrid-Capital,28070913,EEI,AMANECER,"Calle Del Titanio, 7 ",Madrid,Vicálvaro,28032,917765069,-,eei.amanecer.madrid@educa.madrid.org,-,Público,Primaria
11,Madrid-Capital,28072004,EEI,ANA DE AUSTRIA,"Calle De Ana De Austria, 32 ",Madrid,Hortaleza,28050,917500832,-,eei.anadeaustria.madrid@educa.madrid.org,eei.anadeaustria@gmail.com,Público,Primaria
12,Madrid-Sur,28044161,EEI,ANDERSEN,"Avenida De Viña Grande, 2 ",Alcorcón,-,28925,914880205,-,eei.andersen.alcorcon@educa.madrid.org,andersen.alcorcon@hotmail.com,Público,Primaria
13,Madrid-Este,28068098,EEI,ANTON PIRULERO,"Calle Puerto De Bilbao, S/n ",Coslada,-,28821,916731099,912973728,eei.antonpirulero.coslada@educa.madrid.org,antonpirulero@chiquitin.es,Público,Primaria
14,Madrid-Capital,28079621,EEI,ANTONIO MERCERO,"Avenida De Valladolid, 49b ",Madrid,Moncloa-Aravaca,28008,-,-,-,-,Público,Primaria
15,Madrid-Capital,28062643,EEI,ARCE,"Calle Del Alcalde Garrido Juaristi, 6 ",Madrid,Moratalaz,28030,913285820,913285820,eei.arce.madrid@educa.madrid.org,-,Público,Primaria
16,Madrid-Capital,28043454,EEI,ARCO IRIS,"Calle De Diego Olivera Victorio, 10 ",Madrid,Villa de Vallecas,28031,913311422,913311422,eei.arcoiris.madrid@educa.madrid.org,-,Público,Primaria
17,Madrid-Este,28049055,EEI,ARCO IRIS,"Calle Valverde De Alcala, 1 ",Alcalá de Henares,-,28806,918811481,918811481,eei.arcoiris.alcala@educa.madrid.org,directora@escuelaarcoiris.com,Público,Primaria
18,Madrid-Sur,28080499,EEI,ARCOIRIS,"Avenida Niceto Alcalá Zamora, S/n ",Getafe,-,28904,916834716,-,eei.arcoiris.getafe@educa.madrid.org,-,Público,Primaria
19,Madrid-Sur,28065292,EEI,ARTE,"Calle Mezquita, 36 ",Getafe,-,28903,916843528,-,eei.arte.getafe@educa.madrid.org,-,Público,Primaria
20,Madrid-Oeste,28068037,EEI,ASERRIN ASERRAN,"Calle Castillo De Atienza, 4 ","Rozas de Madrid, Las",-,28232,916365929,916365929,eei.aserrinaserran.lasrozas@educa.madrid.org,-,Público,Primaria
21,Madrid-Capital,28043740,EEI,BÄRBEL INHELDER,"Carretera De Colmenar, K15 ",Madrid,Fuencarral-El Pardo,28049,914972303,914972301,eei.barbelinhelder.madrid@educa.madrid.org,escuela.infantil@uam.es,Público,Primaria
22,Madrid-Sur,28049067,EEI,BARCO DE PAPEL,"Avenida De Los Cinco Siglos, 1 ",Navalcarnero,-,28600,918113003,918113657,eei.barcodepapel.navalcarnero@educa.madrid.org,-,Público,Primaria
23,Madrid-Sur,28043922,EEI,CALEIDOSCOPIO,"Avenida De Carlos V, 3 ",Móstoles,-,28936,916454995,916454995,eei.caleidoscopio.mostoles@educa.madrid.org,caleidoscopio@educainfantilmostoles.org,Público,Primaria
24,Madrid-Oeste,28072429,EEI,CALIMERO,"Calle Amapolas, S/n ",Collado Villalba,-,28400,674334740,-,eei.calimero.colladovillalba@educa.madrid.org,calimero@kidsco.es,Público,Primaria
25,Madrid-Sur,28068219,EEI,CAMPANILLA,"Calle Miguel De Cervantes, 106 ",Arroyomolinos,-,28939,916096167,916119054,eei.campanilla.arroyomolinos@educa.madrid.org,-,Público,Primaria
26,Madrid-Sur,28070202,EEI,CAMPANILLA,"Calle De Copenhague, 55 ",Alcorcón,-,28922,605865768,-,eei.campanilla.alcorcon@educa.madrid.org,campanilla.alcorcon@gmail.com,Público,Primaria
27,Madrid-Capital,28068301,EEI,CAMPANILLA,"Calle De Ávila, 4 ",Madrid,Tetuán,28020,915707576,915707576,eei.campanilla.madrid@educa.madrid.org,lunas.7@hotmaiil.com,Público,Primaria
28,Madrid-Sur,28049195,EEI,CANCIONERO,"Calle Emilia Pardo Bazán, S/n ",Getafe,-,28903,916969593,916969593,eei.cancionero.getafe@educa.madrid.org,raquel.victorio@madrid.org,Público,Primaria
29,Madrid-Norte,28044252,EEI,CANTINELA,"Sector Descubridores, 18 ",Tres Cantos,-,28760,918033249,-,eei.cantinela.trescantos@educa.madrid.org,eicantinela@hotmail.com,Público,Primaria
