,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO
1,Madrid-Oeste,28060816,CIMELPR PRSEC,PADRE ANTONIO SOLER,"Calle Floridablanca, 3 ",San Lorenzo de El Escorial,-,28200,918903611,918905994,cim.sanlorenzo@educa.madrid.org,-,Público,Secundaria
2,Madrid-Capital,28065711,CIMPR SEC,FEDERICO MORENO TORROBA,"Calle Del General Ricardos, 177 ",Madrid,Carabanchel,28025,914698614,915650151,cim.morenotorroba.madrid@educa.madrid.org,-,Público,Secundaria
3,Madrid-Capital,28066065,CREI,SAGRADO CORAZON DE JESUS,"Carretera De Colmenar Viejo , Km. 13,500 ",Madrid,Fuencarral-El Pardo,28049,914650640,914611395,crei.scorazon.madrid@educa.madrid.org,-,Público,Secundaria
4,Madrid-Este,28057222,IES,ADOLFO SUAREZ,"Paseo Del Radar, 33 ",Paracuellos de Jarama,-,28860,916581899,916580437,ies.adolfosuarez.paracuellos@educa.madrid.org,-,Público,Secundaria
5,Madrid-Sur,28077907,IES,AFRICA,"Calle Portugal, 41 ",Fuenlabrada,-,28943,916073584,916085507,ies.africa.fuenlabrada@educa.madrid.org,-,Público,Secundaria
6,Madrid-Norte,28041354,IES,AGORA,"Calle Manuel De Falla, 54-56 ",Alcobendas,-,28100,916515700,916548684,ies.agora.alcobendas@educa.madrid.org,-,Público,Secundaria
7,Madrid-Capital,28033539,IES,ALAMEDA DE OSUNA,"Calle De Antonio Sancha, 11 ",Madrid,Barajas,28042,912761560,913291525,ies.alamedadeosuna.madrid@educa.madrid.org,-,Público,Secundaria
8,Madrid-Norte,28040660,IES,ALDEBARAN,"Avenida De Valdelaparra, 90 ",Alcobendas,-,28108,916618085,916618238,ies.aldebaran.alcobendas@educa.madrid.org,-,Público,Secundaria
9,Madrid-Sur,28050537,IES,ALFONSO MORENO,"Calle Estudiantes, 3 ",Brunete,-,28690,918158371,918158399,ies.alfonsomoreno.brunete@educa.madrid.org,-,Público,Secundaria
10,Madrid-Capital,28076368,IES,ALFREDO KRAUS,"Avenida De Guadalajara, 126 ",Madrid,San Blas-Canillejas,28022,912760100,917031659,ies.alfredokraus.madrid@educa.madrid.org,-,Público,Secundaria
11,Madrid-Este,28039682,IES,ALKALA-NAHAR,"Calle Ávila, 1 ",Alcalá de Henares,-,28804,918819311,918819028,ies.alkalanahar.alcala@educa.madrid.org,-,Público,Secundaria
12,Madrid-Este,28000467,IES,ALONSO DE AVELLANEDA,"Calle Vitoria, 3 ",Alcalá de Henares,-,28804,918881174,918883402,ies.alonsodeavellan.alcala@educa.madrid.org,-,Público,Secundaria
13,Madrid-Este,28035305,IES,ALONSO QUIJANO,"Paseo De Las Moreras, 1 ",Alcalá de Henares,-,28803,918821411,918817229,ies.alonsoquijano.alcala@educa.madrid.org,-,Público,Secundaria
14,Madrid-Sur,28039037,IES,ALPAJES,"Calle De Las Moreras, 28 ",Aranjuez,-,28300,918920298,918920522,ies.alpajes.aranjuez@educa.madrid.org,-,Público,Secundaria
15,Madrid-Oeste,28046111,IES,ALPEDRETE,"Paraje Del Peralejo, S/n ",Alpedrete,-,28430,918514507,918491470,ies.alpedrete.alpedrete@educa.madrid.org,-,Público,Secundaria
16,Madrid-Norte,28040611,IES,AL-SATT,"Avenida De Europa, S/n ",Algete,-,28110,916282412,916282636,ies.alsatt.algete@educa.madrid.org,-,Público,Secundaria
