,Unnamed: 0,AREA TERRITORIAL,CODIGO CENTRO,TIPO DE CENTRO,CENTRO,DOMICILIO,MUNICIPIO,DISTRITO MUNICIPAL,COD. POSTAL,TELEFONO,FAX,EMAIL,EMAIL2,TITULARIDAD,TIPO,latitudes,longitudes,calle
0,1,Madrid-Oeste,28060646,EEI,ACHALAY,"Avenida De Isabel De Farnesio, 14 ",Boadilla del Monte,-,28660,916326518,-,eei.achalay.boadilla@educa.madrid.org,achalay-@hotmail.com,Público,Primaria,40.4039395,-3.8875266,"Avenida De Isabel De Farnesio, 14 "
1,2,Madrid-Este,28063027,EEI,ACUARELA,"Avenida Del Somorrostro, 193 ",San Fernando de Henares,-,28830,916694580,-,eei.acuarela.sanfernando@educa.madrid.org,-,Público,Primaria,40.4145198,-3.5216305,"Avenida Del Somorrostro, 193 "
2,3,Madrid-Sur,28047460,EEI,ADIVINANZAS,Plaza Duque De Ahumada,Alcorcón,-,28922,911886061,-,eei.adivinanzas.alcorcon@educa.madrid.org,-,Público,Primaria,40.189136,-3.6805184,Plaza Duque De Ahumada
3,4,Madrid-Capital,28047551,EEI,AGUA DULCE,"Calle De Leñeros, 25 ",Madrid,Tetuán,28039,914594049,914594049,eei.aguadulce.madrid@educa.madrid.org,-,Público,Primaria,40.4538898,-3.7096,"Calle De Leñeros, 25 "
4,5,Madrid-Sur,28044100,EEI,AILANTOS,"Plaza Duque De Ahumada, S/n ",Valdemoro,-,28341,918955900,918955900,eei.ailantos.valdemoro@educa.madrid.org,manuelaailantos@hotmail.com,Público,Primaria,40.189136,-3.6805184,Plaza Duque De Ahumada  
5,6,Madrid-Capital,28043405,EEI,ALBAICIN,"Calle De Albaicín, 1 ",Madrid,Usera,28041,913171194,913171194,eei.albaicin.madrid@educa.madrid.org,mariasira.delrio@madrid.org,Público,Primaria,40.3681959,-3.701674799999999,"Calle De Albaicín, 1 "
6,7,Madrid-Capital,28043417,EEI,ALFAR,"Calle De Gerardo Diego, 9-b ",Madrid,Puente de Vallecas,28018,917773745,917773745,eei.alfar.madrid@educa.madrid.org,-,Público,Primaria,40.3849509,-3.6430907,"Calle De Gerardo Diego, 9-b "
7,8,Madrid-Capital,28067665,EEI,ALTAIR,"Calle De José De Cadalso, 43 ",Madrid,Latina,28044,917652101,-,eei.altair.madrid@educa.madrid.org,altairescuela@gmail.com,Público,Primaria,40.3784405,-3.7684694,"Calle De José De Cadalso, 43 "
8,9,Madrid-Capital,28047861,EEI,AMADEO VIVES,"Calle De Los Yébenes, 6 ",Madrid,Latina,28047,687011831,917080207,cn.amadeovives.madrid@educa.madrid.org,-,Público,Primaria,40.3971466,-3.7556386,"Calle De Los Yébenes, 6 "
9,10,Madrid-Capital,28070913,EEI,AMANECER,"Calle Del Titanio, 7 ",Madrid,Vicálvaro,28032,917765069,-,eei.amanecer.madrid@educa.madrid.org,-,Público,Primaria,40.4020264,-3.6008086,"Calle Del Titanio, 7 "
10,11,Madrid-Capital,28072004,EEI,ANA DE AUSTRIA,"Calle De Ana De Austria, 32 ",Madrid,Hortaleza,28050,917500832,-,eei.anadeaustria.madrid@educa.madrid.org,eei.anadeaustria@gmail.com,Público,Primaria,40.4953314,-3.6553927,"Calle De Ana De Austria, 32 "
11,12,Madrid-Sur,28044161,EEI,ANDERSEN,"Avenida De Viña Grande, 2 ",Alcorcón,-,28925,914880205,-,eei.andersen.alcorcon@educa.madrid.org,andersen.alcorcon@hotmail.com,Público,Primaria,40.349476,-3.8067598,"Avenida De Viña Grande, 2 "
12,13,Madrid-Este,28068098,EEI,ANTON PIRULERO,"Calle Puerto De Bilbao, S/n ",Coslada,-,28821,916731099,912973728,eei.antonpirulero.coslada@educa.madrid.org,antonpirulero@chiquitin.es,Público,Primaria,40.416533,-3.5756272,Calle Puerto De Bilbao  
