,Unnamed: 0,Residencia,DISTRITO,CP,Comunidad,Calle,Telefono,Telefono Alternativo,Tipo,Oficina,Estado,latitudes,longitudes
0,0,Acogida HORTALEZA ,Hortaleza,28043,Madrid,"C. de Valdetorres de Jarama, 1",917642900,917642943,Primera Acogida,,,N/A,N/A
1,1,Acogida Isabel Clara Eugenia,Hortaleza,28033,Madrid,"C. del Mar Caspio, 8",917633222,917633240,Primera Acogida,,,40.6148809,-4.013341278551532
2,2,Acogida casa de campo. Fundación Antonio Moreno,LATINA,28011,Madrid,"Camino del Robledal, 2",914700553,,Primera Acogida,,,40.2481046,-3.1397113
3,3,Casa de los niños,"Fuencarral-El Pardo, Madrid",28049,Madrid,"Carr. Vía de Servicio, Km.12,800",917343082,917348780,Primera Infancia,,,N/A,N/A
4,4,Residencia Menores Rosa,Chamartin,28036,Madrid,"P.º de la Habana, 173",913455173,913507392,Primera Infancia,,,40.46569315,-3.6799454650741024
5,5,Residencia Para Menores El Valle,Salamanca,28003,Madrid,"C. Pinilla del Valle, 22",915535614,915353399,Primera Infancia,,,N/A,N/A
6,6,Residencia Para Menores Las Acacias,Carabanchel,28025,Madrid,"Calle Gral. Ricardos, 177",914628426,,Residencias Infantiles ,,,N/A,N/A
7,7,Residencia Infantil Alcalá de Henares,Alcalá de Henares,28804,Madrid,Calle Fernando de Flandes 16-18,918837321,,Residencias Infantiles ,,,40.4899445,-3.3481572
8,8,Alcorcón,Alcorcón,28925,Madrid,Avenida Las Flores 70-72,916118051,,Residencias Infantiles ,,,40.759214,-3.7817977
9,9,Aranjuez,Aranjuez,28300,Madrid,"Calle de la Alondra, 17",918915881,,Residencias Infantiles ,,,40.549061550000005,-3.9937888571128304
10,10,Arce Rojo ,Fuenlabrada,28940,Madrid,Calle Navarra 23-25,916971158,,Residencias Infantiles ,,,40.3455262,-3.8305627
11,11,Arganda,Arganda,28500,Madrid,Avenida Del Instituto 30,918757980,,Residencias Infantiles ,,,40.2942901,-3.4426635
12,12,Residencia Infantil Azaleas,Colmenar Viejo,28770,Madrid,Calle Prado de las Azaleas 3,918467100,,Residencias Infantiles ,,,N/A,N/A
13,13,Chamberí,Chamberí,28015,Madrid,Calle Fernandez de los Rios 37,914464201,,Residencias Infantiles ,,,N/A,N/A
14,14,Encinar,Hortaleza,28043,Madrid,Calle Estrecho de Mesina 1,917595477,,Residencias Infantiles ,,,40.4528048,-3.6506067
15,15,Fernandez De los Ríos,Chamberí,28015,Madrid,"Calle de Fernández de los Ríos, 2",914454483,,Residencias Infantiles ,,,40.4350043,-3.7045282
16,16,Isabel de Castilla,Villa de Vallecas,28031,Madrid,Calle Sierra de Palomeras 12,913030016,,Residencias Infantiles ,,,40.37726385,-3.624554616800947
17,17,Las rosas,San Blas,28032,Madrid,Avenida Guadalajara 69,917609230,,Residencias Infantiles ,,,40.566672,-3.5042791
18,18,Residencia Infantil Leganes,Leganes,28914,Madrid,Calle Maestro 21,916883641,,Residencias Infantiles ,,,40.3268109,-3.8789307
