,CENTRO,distance,n. resi,residencia
0,ACHALAY,8.708717426455044,8,Alcorcón
1,ACUARELA,3.6969386330873153,20,Ntra. sra. de Lourdes
2,ADIVINANZAS,6.942931503317831,29,Calasanz
3,AGUA DULCE,0.41122142055581046,10,Arce Rojo 
4,AILANTOS,6.942931503317831,29,Calasanz
5,ALBAICIN,1.149216519972805,28,Asociación Abrazo - San Mateo 
6,ALFAR,0.925733876379752,21,Palomeras
7,ALTAIR,2.2977363106084256,53,Trama menas
8,AMADEO VIVES,0.27421032727116756,53,Trama menas
9,AMANECER,2.5234205024240066,17,Las rosas
10,ANA DE AUSTRIA,2.5816976243638456,0,Acogida HORTALEZA 
11,ANDERSEN,0.8111424187216162,8,Alcorcón
12,ANTON PIRULERO,3.540834414020984,17,Las rosas
13,ANTONIO MERCERO,0.5989196009347558,38,La ribera
14,ARCE,2.3277850051415534,63,Casa belen 
15,ARCO IRIS,1.1514501340124224,16,Isabel de Castilla
16,ARCO IRIS,1.5788206348309055,7,Residencia Infantil Alcalá de Henares
17,ARCOIRIS,2.478302811253334,0,Acogida HORTALEZA 
18,ARTE,4.35690026215979,30,Ciudad escuela de los muchachos
19,ASERRIN ASERRAN,8.92130386957914,24,A.F.A.S (Asociación Franciscana de apoyo social)
20,BÄRBEL INHELDER,1.8918512612076321,3,Casa de los niños
21,BARCO DE PAPEL,11.824992710896366,19,Móstoles
22,CALEIDOSCOPIO,2.998104165557951,19,Móstoles
23,CALIMERO,11.935595957487623,26,Aldeas Infantiles SOS
24,CAMPANILLA,6.5840958613151095,19,Móstoles
25,CAMPANILLA,3.85938713840652,8,Alcorcón
26,CAMPANILLA,0.26897656125422403,10,Arce Rojo 
27,CANCIONERO,3.454005055385501,30,Ciudad escuela de los muchachos
28,CANTINELA,7.527439940014443,12,Residencia Infantil Azaleas
29,CARACOL COL COL,12.135313205938147,29,Calasanz
30,CARANTOÑAS,7.842710198648777,72,Reaps. Picón de Jarama
31,CARRICOCHE,0.9157644406583382,28,Asociación Abrazo - San Mateo 
32,CARRUSEL,2.577880808258695,7,Residencia Infantil Alcalá de Henares
33,CASA DE LOS NIÑOS,3.960683791718147,30,Ciudad escuela de los muchachos
34,CASCABELES,2.206089445660225,39,Nuevo Futuro
35,CASCANUECES,3.1933308002070175,30,Ciudad escuela de los muchachos
36,CASIOPEA,2.8473528967888324,62,Apanid
37,CHARLIE RIVEL,0.8143205350396632,41,Fundación Tomillo
38,CHAVALITOS,1.052446296406479,53,Trama menas
39,CIELO AZUL,1.7211208192716319,21,Palomeras
40,CINCO LOBITOS,2.655139365896682,6,Residencia Para Menores Las Acacias
41,COLORES,1.02308119956153,19,Móstoles
42,COLORIN COLORADO,0.9928034101809282,48,Asociación Dual 
43,CUENTACUENTOS,13.323364572348769,26,Aldeas Infantiles SOS
44,DIAMELA,4.145913202094884,20,Ntra. sra. de Lourdes
45,DON MELITON,3.5652262739409024,7,Residencia Infantil Alcalá de Henares
46,DON PIMPON,12.475673949570496,65,Martinez Bujanda  II
47,DOÑA FRANCISQUITA,1.3700712208573256,1,Acogida Isabel Clara Eugenia
48,DULCINEA,1.2782166570694702,30,Ciudad escuela de los muchachos
49,EL ALBA,1.3780879466823697,40,Asociación Paideia
50,EL ALMENDRO,0.957003417220241,12,Residencia Infantil Azaleas
51,EL ARLEQUIN,1.9065607850683965,55,SAMU
52,EL BARBERILLO DE LAVAPIES,1.119242784611121,36,Grupo educativo social 
53,EL BATEO,3.907056707443887,17,Las rosas
54,EL BELEN,2.5404061851175554,48,Asociación Dual 
55,EL BONSAI,2.8543828217154483,64,Martinez Bujanda I
56,EL BOSQUE,0.8403435823337816,47,Arquisocial San Cosme
57,EL BOSQUE,1.9017969779015131,30,Ciudad escuela de los muchachos
58,EL CARMEN,1.3277757970096165,0,Acogida HORTALEZA 
59,EL CASCANUECES,3.7352343629080504,55,SAMU
60,EL CASERIO,1.9536228261347413,21,Palomeras
61,EL COCHERITO LERÉ,1.9368601570319577,64,Martinez Bujanda I
62,EL COLUMPIO,9.747974954220922,20,Ntra. sra. de Lourdes
63,EL COLUMPIO,1.1039465565189817,19,Móstoles
64,EL CORRO DE LA PATATA,0.973974847353625,8,Alcorcón
65,EL CUCO,0.9340062949476567,30,Ciudad escuela de los muchachos
66,EL CUQUILLO,1.8753701055938212,39,Nuevo Futuro
67,EL DUENDE,0.7661429579893452,43,Torremocha (piso tutelado chicos)
68,EL ENCINAR,0.0,14,Encinar
69,EL ESCONDITE,1.9036304699532378,64,Martinez Bujanda I
70,EL ESPINILLO,1.2380311210684785,28,Asociación Abrazo - San Mateo 
71,EL FARO,1.9093769637929352,39,Nuevo Futuro
72,EL FRESNO,3.4236822729203444,48,Asociación Dual 
73,EL GATO CON BOTAS,3.388342542692428,20,Ntra. sra. de Lourdes
74,EL JUGLAR,0.527099644477031,32,Nuevo Futuro
75,EL LAGO,0.8136061094743726,64,Martinez Bujanda I
76,EL LIMONERO,2.4737309211393064,49,Caritas Diocesana de Madrid
77,EL LIRON,1.3786661923587418,21,Palomeras
78,EL MADROÑAL,1.4167149834943493,21,Palomeras
79,EL MAMUT,3.797483227706932,28,Asociación Abrazo - San Mateo 
80,EL MANANTIAL,1.0647554767825367,34,Luis Amigó
81,EL MANZANO,5.861757834191599,62,Apanid
82,EL MOLINO,2.0871539528156564,64,Martinez Bujanda I
83,EL NARANJO,3.6994352780335267,62,Apanid
84,EL NARANJO,2.2316359503389847,64,Martinez Bujanda I
85,EL NOGAL,11.844013712160615,26,Aldeas Infantiles SOS
86,EL OLIVAR,0.30213371524919086,46,Afinsa - Los Alamos
87,EL OLIVAR,20.84305186462931,61,Almenara
88,EL OLIVO,7.224292430240064,3,Casa de los niños
89,EL PEQUEÑO SAUCE,1.5911635328441887,19,Móstoles
90,EL PILAR,1.4480705187425371,63,Casa belen 
91,EL POCITO,1.8056025171545667,0,Acogida HORTALEZA 
92,EL PRADO,3.1728361395535853,30,Ciudad escuela de los muchachos
93,EL PRINCIPITO,10.527433447931415,72,Reaps. Picón de Jarama
94,EL REGAJAL,0.8204531120689051,9,Aranjuez
95,EL ROBLE,7.5855959786403835,29,Calasanz
96,EL ROCIO,2.673488661374078,28,Asociación Abrazo - San Mateo 
97,EL ROMANCERO,2.5957605113988054,30,Ciudad escuela de los muchachos
98,EL ROMERAL,5.618109737995544,3,Casa de los niños
99,EL SACAPUNTAS,2.6588900194831626,64,Martinez Bujanda I
100,EL SASTRECILLO VALIENTE,0.6050975706526543,40,Asociación Paideia
101,EL SEÑOR DON GATO,1.2576513551633972,21,Palomeras
102,EL SOL,0.9623626374967668,4,Residencia Menores Rosa
103,EL SOTO,0.8521891074503252,19,Móstoles
104,EL SUR,2.5380102038999115,28,Asociación Abrazo - San Mateo 
105,EL TAMBOR,2.8513714246292516,20,Ntra. sra. de Lourdes
106,EL TOMILLAR,10.994253440527308,65,Martinez Bujanda  II
107,EL TREBOL,1.8561459914562721,21,Palomeras
108,EL TREN DE ARGANDA,1.9722595041398137,49,Caritas Diocesana de Madrid
109,EL TREN DE LA FRESA,1.3997605700282094,47,Arquisocial San Cosme
110,EL VALLE,1.0628458304087702,23,Vallehermoso
111,ELENA FORTUN,3.542315441806521,48,Asociación Dual 
112,ESCUELA INFANTIL BASE MILITAR EL GOLOSO,7.681371932095898,12,Residencia Infantil Azaleas
113,ESCUELAS DE SAN ANTON,0.8893251441159433,22,Parla
